epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,12885.1,1.17097,1.16449,0.8875,0.50546,0.75089,0.6515,0.46267,1.13131,1.1332,0.89383,0.00774676,0.00774676,0.00774676
64,13086.9,1.16456,1.15069,0.88431,0.53297,0.68671,0.62748,0.45353,1.11145,1.14522,0.88795,0.00772412,0.00772412,0.00772412
65,13288.6,1.17134,1.13699,0.8823,0.53535,0.68867,0.63925,0.46277,1.10888,1.10497,0.88682,0.00770149,0.00770149,0.00770149
66,13490.1,1.17467,1.15262,0.88175,0.53661,0.70475,0.63287,0.46398,1.11545,1.12573,0.88628,0.00767886,0.00767886,0.00767886
67,13691.7,1.16039,1.13149,0.88603,0.54735,0.70958,0.65117,0.47138,1.12905,1.11904,0.89228,0.00765622,0.00765622,0.00765622
68,13895.3,1.15553,1.14741,0.8834,0.5604,0.71355,0.64883,0.46495,1.13102,1.10421,0.88881,0.00763359,0.00763359,0.00763359
69,14097.1,1.1668,1.12553,0.8831,0.54474,0.68798,0.63924,0.46537,1.11155,1.10065,0.88244,0.00761096,0.00761096,0.00761096
70,14298.9,1.15285,1.1088,0.87969,0.54963,0.73498,0.64608,0.46945,1.11877,1.12177,0.8862,0.00758832,0.00758832,0.00758832
71,14500.3,1.15144,1.11551,0.87808,0.54181,0.77335,0.65983,0.47356,1.11925,1.10942,0.88601,0.00756569,0.00756569,0.00756569
72,14703.1,1.15424,1.12157,0.88027,0.54624,0.73407,0.63601,0.46626,1.11588,1.14052,0.88296,0.00754306,0.00754306,0.00754306
73,14905,1.12794,1.10489,0.87879,0.52631,0.75739,0.65217,0.47541,1.09234,1.10488,0.88076,0.00752043,0.00752043,0.00752043
74,15107.7,1.16128,1.11484,0.88271,0.5168,0.77863,0.64501,0.46846,1.10881,1.102,0.88325,0.00749779,0.00749779,0.00749779
75,15309.4,1.15649,1.10156,0.88048,0.53732,0.74467,0.64938,0.47625,1.10384,1.08545,0.88116,0.00747516,0.00747516,0.00747516
76,15512.1,1.13628,1.10907,0.87656,0.57785,0.70905,0.65287,0.47842,1.10186,1.08659,0.88018,0.00745253,0.00745253,0.00745253
77,15714.8,1.15822,1.09661,0.88425,0.56413,0.76551,0.66083,0.48024,1.10308,1.07989,0.88237,0.00742989,0.00742989,0.00742989
78,15917.5,1.13625,1.11091,0.87733,0.54113,0.74166,0.64116,0.47279,1.09268,1.07968,0.87859,0.00740726,0.00740726,0.00740726
79,16119.3,1.14786,1.09717,0.87817,0.54737,0.72407,0.65416,0.47925,1.10473,1.08702,0.88104,0.00738463,0.00738463,0.00738463
80,16321.1,1.14071,1.0832,0.87854,0.55349,0.7424,0.64205,0.46988,1.09462,1.08675,0.88154,0.00736199,0.00736199,0.00736199
81,16522.7,1.12959,1.09265,0.87787,0.57837,0.73962,0.66794,0.48971,1.09022,1.06492,0.87955,0.00733936,0.00733936,0.00733936
82,16725.1,1.12858,1.05921,0.87467,0.55451,0.75631,0.67429,0.49481,1.09497,1.0563,0.88043,0.00731673,0.00731673,0.00731673
83,16927.1,1.12293,1.07981,0.87035,0.54825,0.72249,0.67574,0.49237,1.08912,1.05474,0.88203,0.0072941,0.0072941,0.0072941
84,17128,1.1487,1.0926,0.87912,0.54162,0.73735,0.64146,0.46994,1.07383,1.09746,0.87385,0.00727146,0.00727146,0.00727146
85,17329.1,1.12453,1.09212,0.87236,0.55747,0.74174,0.67832,0.49994,1.09066,1.06061,0.87887,0.00724883,0.00724883,0.00724883
86,17531,1.11625,1.06823,0.87557,0.55638,0.75475,0.6665,0.48945,1.09649,1.08395,0.87984,0.0072262,0.0072262,0.0072262
87,17732.1,1.13712,1.07398,0.87588,0.61231,0.74853,0.68699,0.50366,1.10559,1.0358,0.88135,0.00720356,0.00720356,0.00720356
88,17934,1.13256,1.07092,0.87489,0.58815,0.71837,0.66482,0.4844,1.08999,1.09197,0.87997,0.00718093,0.00718093,0.00718093
89,18135.1,1.11212,1.0434,0.86996,0.58348,0.73213,0.67981,0.50175,1.08479,1.04566,0.87715,0.0071583,0.0071583,0.0071583
90,18336.1,1.11037,1.0574,0.87168,0.60419,0.73303,0.67198,0.49765,1.07479,1.06531,0.87484,0.00713566,0.00713566,0.00713566
91,18537.2,1.09569,1.03818,0.86559,0.57919,0.72129,0.66723,0.49282,1.06693,1.07541,0.87448,0.00711303,0.00711303,0.00711303
92,18738.1,1.10568,1.04331,0.86838,0.58602,0.76805,0.67748,0.50247,1.06532,1.03049,0.87294,0.0070904,0.0070904,0.0070904
93,18939.3,1.1111,1.05339,0.86723,0.53975,0.78457,0.66851,0.49923,1.08029,1.06916,0.87639,0.00706777,0.00706777,0.00706777
94,19140.4,1.11077,1.05442,0.87153,0.54657,0.77994,0.6652,0.49169,1.07769,1.06454,0.87512,0.00704513,0.00704513,0.00704513
95,19341.4,1.09968,1.0555,0.8697,0.53568,0.77878,0.67375,0.50062,1.07338,1.06095,0.87311,0.0070225,0.0070225,0.0070225
96,19542.6,1.09179,1.03032,0.86561,0.57963,0.74975,0.68388,0.50689,1.07343,1.03861,0.87089,0.00699987,0.00699987,0.00699987
97,19744.7,1.09514,1.03073,0.86569,0.58325,0.76855,0.67996,0.50198,1.07197,1.01323,0.87342,0.00697723,0.00697723,0.00697723
98,19945.8,1.09571,1.04154,0.86561,0.56371,0.76821,0.68039,0.49921,1.07667,1.02713,0.87458,0.0069546,0.0069546,0.0069546
99,20147.3,1.08837,1.02781,0.87114,0.56373,0.75238,0.67711,0.50338,1.07181,1.02889,0.87455,0.00693197,0.00693197,0.00693197
100,20348.8,1.08265,1.0049,0.86611,0.5694,0.75841,0.69001,0.51226,1.06453,1.02713,0.87121,0.00690933,0.00690933,0.00690933
101,20551.2,1.09321,1.0221,0.86565,0.56916,0.78726,0.68742,0.51491,1.0555,1.02185,0.8708,0.0068867,0.0068867,0.0068867
102,20753.5,1.08612,1.0278,0.86712,0.59901,0.76891,0.68903,0.51003,1.07789,1.01321,0.87526,0.00686407,0.00686407,0.00686407
103,20955.2,1.08255,1.00583,0.86316,0.54495,0.80465,0.66736,0.49861,1.06574,1.04194,0.87279,0.00684144,0.00684144,0.00684144
104,21156.9,1.07573,1.01202,0.86471,0.5752,0.78564,0.68203,0.50969,1.05825,1.02703,0.8699,0.0068188,0.0068188,0.0068188
105,21358.3,1.08153,1.01234,0.86533,0.57239,0.79101,0.68245,0.50916,1.05949,1.01461,0.86828,0.00679617,0.00679617,0.00679617
106,21559.8,1.08353,0.99896,0.85943,0.56524,0.77798,0.68408,0.51322,1.05179,1.02182,0.86923,0.00677354,0.00677354,0.00677354
107,21761.3,1.07878,1.01094,0.86316,0.55497,0.79638,0.68009,0.50422,1.06222,1.02965,0.8711,0.0067509,0.0067509,0.0067509
108,21962.9,1.07257,0.99019,0.86155,0.57776,0.76651,0.67949,0.50644,1.04942,0.99972,0.86697,0.00672827,0.00672827,0.00672827
109,22164.4,1.06767,0.99313,0.85995,0.55899,0.7672,0.67175,0.49737,1.05758,1.03149,0.87089,0.00670564,0.00670564,0.00670564
110,22366.2,1.06919,0.9906,0.8624,0.56241,0.8096,0.68956,0.5152,1.05379,1.01543,0.86871,0.006683,0.006683,0.006683
111,22568.8,1.07991,1.01639,0.86408,0.56162,0.78972,0.68752,0.5102,1.05601,1.03352,0.87035,0.00666037,0.00666037,0.00666037
112,22770.1,1.06699,0.98959,0.85963,0.58417,0.79331,0.6958,0.52228,1.04217,0.99455,0.86523,0.00663774,0.00663774,0.00663774
113,22972.5,1.07088,0.99786,0.85632,0.57133,0.79888,0.70521,0.52406,1.04081,0.9892,0.86604,0.00661511,0.00661511,0.00661511
114,23174.5,1.06147,0.96012,0.8603,0.58933,0.79006,0.70015,0.52163,1.04564,0.99193,0.86942,0.00659247,0.00659247,0.00659247
115,23375.8,1.04995,0.96789,0.85989,0.59501,0.803,0.70131,0.52331,1.0416,0.98933,0.86673,0.00656984,0.00656984,0.00656984
116,23577.1,1.06494,0.98368,0.86073,0.56809,0.80097,0.69281,0.51769,1.04228,1.01317,0.86661,0.00654721,0.00654721,0.00654721
117,23778.5,1.06444,0.98547,0.85984,0.59102,0.81408,0.7047,0.52524,1.04141,0.98847,0.8673,0.00652457,0.00652457,0.00652457
118,23981.4,1.05433,0.98685,0.85843,0.59497,0.7863,0.70201,0.52181,1.03412,0.99677,0.86534,0.00650194,0.00650194,0.00650194
119,24182.8,1.03961,0.9568,0.85795,0.60182,0.76484,0.69716,0.51806,1.04704,1.00437,0.86727,0.00647931,0.00647931,0.00647931
120,24384.2,1.0608,0.97305,0.85541,0.58498,0.7956,0.70056,0.52698,1.03795,0.99903,0.86619,0.00645668,0.00645668,0.00645668
121,24586.5,1.04753,0.99483,0.85747,0.59945,0.78198,0.69992,0.52437,1.03185,0.98799,0.86632,0.00643404,0.00643404,0.00643404
122,24787.8,1.04296,0.97583,0.85998,0.58067,0.80913,0.70524,0.53152,1.03005,0.97568,0.86529,0.00641141,0.00641141,0.00641141
123,24990.1,1.04405,0.95703,0.85323,0.61465,0.79575,0.7005,0.52501,1.02901,0.98345,0.86652,0.00638878,0.00638878,0.00638878
124,25191.3,1.05277,0.96831,0.85862,0.61277,0.80224,0.70399,0.52759,1.03103,0.98668,0.86795,0.00636614,0.00636614,0.00636614
125,25392.7,1.04176,0.95535,0.85686,0.58247,0.79402,0.69678,0.52386,1.02833,0.99715,0.86508,0.00634351,0.00634351,0.00634351
126,25593.9,1.04074,0.95338,0.8537,0.59646,0.80437,0.69812,0.52285,1.03328,1.00393,0.86797,0.00632088,0.00632088,0.00632088
127,25795.1,1.0185,0.93975,0.85335,0.62566,0.77336,0.71162,0.53217,1.03506,0.97681,0.86593,0.00629824,0.00629824,0.00629824
128,25997.5,1.03126,0.94817,0.85438,0.60347,0.78055,0.70707,0.5287,1.03729,0.98845,0.86731,0.00627561,0.00627561,0.00627561
129,26198.6,1.0212,0.94417,0.84852,0.609,0.79767,0.71297,0.53484,1.0286,0.98481,0.86427,0.00625298,0.00625298,0.00625298
130,26400.6,1.04077,0.94899,0.85964,0.5955,0.80001,0.6976,0.52112,1.03628,0.98823,0.86805,0.00623035,0.00623035,0.00623035
131,26601.8,1.02111,0.93277,0.85454,0.60429,0.78527,0.70703,0.52595,1.04804,0.97932,0.87042,0.00620771,0.00620771,0.00620771
132,26803.1,1.02835,0.9352,0.84985,0.61151,0.8037,0.70006,0.52326,1.03218,0.98339,0.86671,0.00618508,0.00618508,0.00618508
133,27004.2,1.03178,0.95258,0.85339,0.56361,0.81186,0.70188,0.5235,1.02698,0.99969,0.86577,0.00616245,0.00616245,0.00616245
134,27205.3,1.03471,0.94529,0.85229,0.60436,0.8022,0.71001,0.52976,1.02806,0.97069,0.86454,0.00613981,0.00613981,0.00613981
135,27406.4,1.0259,0.93472,0.85093,0.61506,0.79936,0.70898,0.53309,1.01744,0.97145,0.86142,0.00611718,0.00611718,0.00611718
136,27607.6,1.0201,0.94361,0.84788,0.60301,0.82015,0.70722,0.53178,1.02958,0.97338,0.86281,0.00609455,0.00609455,0.00609455
137,27808.6,1.02851,0.92039,0.85402,0.61363,0.79955,0.7137,0.53268,1.02894,0.96043,0.86472,0.00607191,0.00607191,0.00607191
138,28009.8,1.02089,0.92283,0.85258,0.59502,0.81541,0.71276,0.53284,1.02831,0.96443,0.86548,0.00604928,0.00604928,0.00604928
139,28210.8,1.02333,0.91234,0.8499,0.61294,0.80955,0.72053,0.54079,1.02737,0.95037,0.86426,0.00602665,0.00602665,0.00602665
140,28412.7,1.00281,0.90393,0.8482,0.60426,0.79461,0.7141,0.53541,1.0129,0.959,0.86183,0.00600402,0.00600402,0.00600402
141,28613.8,1.01744,0.91634,0.85234,0.60279,0.79532,0.70902,0.53512,1.00897,0.95133,0.86253,0.00598138,0.00598138,0.00598138
142,28815.1,0.99951,0.90793,0.84943,0.60107,0.79909,0.71387,0.53809,1.01225,0.96363,0.86227,0.00595875,0.00595875,0.00595875
143,29016.2,1.01424,0.92377,0.84766,0.62513,0.80566,0.72433,0.54493,1.02553,0.96901,0.8634,0.00593612,0.00593612,0.00593612
144,29218.6,0.99468,0.91185,0.84775,0.58311,0.80639,0.71173,0.5342,1.01579,0.96237,0.86284,0.00591348,0.00591348,0.00591348
145,29419.7,1.00168,0.91381,0.85173,0.59444,0.79964,0.71069,0.53579,1.01226,0.96161,0.8641,0.00589085,0.00589085,0.00589085
